resource_id	query_id	similarity_score
0	0	-1
1	0	0
2	0	-1
3	0	0
4	0	16
5	0	6
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	0
13	0	0
14	0	-1
15	0	4
16	0	2
17	0	-1
18	0	0
19	0	-1
20	0	-1
21	0	-1
22	0	0
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	0
29	0	-1
30	0	0
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	0
36	0	-1
37	0	-1
38	0	75
39	0	-1
40	0	0
41	0	-1
42	0	-1
43	0	0
44	0	-1
45	0	0
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	0
56	0	-1
57	0	-1
58	0	0
59	0	0
60	0	-1
61	0	0
62	0	-1
63	0	-1
64	0	-1
65	0	-1
66	0	-1
67	0	0
68	0	-1
69	0	0
70	0	-1
71	0	-1
72	0	0
73	0	-1
74	0	-1
75	0	-1
76	0	-1
77	0	-1
78	0	0
79	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	0
84	0	-1
85	0	0
86	0	0
87	0	-1
88	0	-1
89	0	-1
90	0	-1
91	0	0
92	0	-1
93	0	0
94	0	-1
95	0	0
96	0	0
97	0	-1
98	0	-1
99	0	0
100	0	10
101	0	0
102	0	-1
103	0	-1
104	0	-1
105	0	-1
106	0	-1
107	0	-1
108	0	-1
109	0	-1
110	0	-1
111	0	-1
112	0	-1
113	0	-1
114	0	-1
115	0	-1
116	0	0
117	0	-1
118	0	0
119	0	-1
120	0	0
121	0	-1
122	0	-1
0	1	-1
1	1	-1
2	1	-1
3	1	-1
4	1	-1
5	1	-1
6	1	-1
7	1	-1
8	1	-1
9	1	-1
10	1	-1
11	1	-1
12	1	0
13	1	-1
14	1	-1
15	1	-1
16	1	-1
17	1	-1
18	1	-1
19	1	-1
20	1	-1
21	1	-1
22	1	7
23	1	-1
24	1	-1
25	1	5
26	1	4
27	1	-1
28	1	-1
29	1	-1
30	1	-1
31	1	-1
32	1	0
33	1	61
34	1	0
35	1	-1
36	1	-1
37	1	-1
38	1	-1
39	1	-1
40	1	-1
41	1	-1
42	1	0
43	1	-1
44	1	-1
45	1	-1
46	1	-1
47	1	-1
48	1	-1
49	1	-1
50	1	-1
51	1	-1
52	1	-1
53	1	-1
54	1	-1
55	1	-1
56	1	-1
57	1	-1
58	1	-1
59	1	-1
60	1	-1
61	1	7
62	1	-1
63	1	-1
64	1	-1
65	1	-1
66	1	-1
67	1	-1
68	1	-1
69	1	-1
70	1	0
71	1	-1
72	1	-1
73	1	2
74	1	-1
75	1	0
76	1	-1
77	1	-1
78	1	-1
79	1	-1
80	1	-1
81	1	2
82	1	-1
83	1	-1
84	1	-1
85	1	-1
86	1	-1
87	1	-1
88	1	5
89	1	2
90	1	0
91	1	-1
92	1	-1
93	1	0
94	1	-1
95	1	1
96	1	-1
97	1	-1
98	1	3
99	1	-1
100	1	0
101	1	-1
102	1	-1
103	1	-1
104	1	-1
105	1	-1
106	1	-1
107	1	-1
108	1	-1
109	1	-1
110	1	-1
111	1	-1
112	1	-1
113	1	-1
114	1	-1
115	1	-1
116	1	-1
117	1	-1
118	1	-1
119	1	-1
120	1	-1
121	1	-1
122	1	-1
0	2	-1
1	2	-1
2	2	-1
