id	title	body
FW14-e098-7207-01	Earth: Earthquakes	"Science

Watch BBC clips full of facts about earthquakes and find out about the deadliest quake in history"
FW14-e098-7176-01	BBC Weather	UK and world weather forecasts for the next five days, weather news, fact files and features on meteorology
FW14-e098-7207-02	Animated guide: Earthquakes	"News

Use the animated guide to learn how and why earthquakes happen and discover more about the different types of quake"
FW14-e098-7044-06	BBC Arts & Culture - George R R Martin on Machiavellian plots in Game of Thrones	… about the Machiavellian characters in his fantasy novel series A Song of Ice and Fire. As well as drawing upon the traditions of fantasy literature,…
FW14-e098-7431-01	Navalny trial: How Russian media told it	"Europe / 18 July 2013

Coverage of the trial of opposition leader Alexei Navalny \- sentenced to five years in prison for embezzlement - has exhibited some of the bestâŚ"
FW14-e098-7044-03	Game of Thrones: The cult French novel that inspired George RR Martin	"Magazine / 4 April 2014

A Song of Ice and Fire by George RR Martin, is set in mythical Westeros. In the north, a massive wall of ice keeps out barbarian ""wildlings"" and…"
FW14-e098-7307-10	BBC - GCSE Bitesize: Causes of the Cold War Activity	BBC Radio 1 BBC 1Xtra > > > > Causes of the Cold War History Causes of the Cold War Causes of the Cold War Activity The Cold War was so called…
FW14-e098-7299-07	BBC - School Radio - Nursery songs and rhymes - Nursery rhymes and songs: Row, row, row your boat	Row, row, row your boat \- supporting resources: Lyrics \- Row, row, row your boat Row, row, row your boat, Gently down the stream, Merrily, merrily,…
FW14-e098-7293-01	BBC - Food - Basil recipes	… bbc.co.uk navigation : Ingredients Basil recipes A versatile and widely used aromatic herb. Basil is an annual plant that is easy to grow from…
FW14-e098-7293-02	BBC - Food - Thai basil recipes	… storage and preparation, and browse the BBC's archive of Thai basil recipes. bbc.co.uk navigation : Ingredients Thai basil recipes Recipes using…
FW14-e098-7307-09	BBC - GCSE Bitesize - The Cold War	… the Cold War, and the Cuban Missile Crisis. BBC Radio 1 BBC 1Xtra > > > The Cold War History The Cold War Causes of the Cold War Ideological differences…
FW14-e098-7326-01	Earth: Volcanoes	"Science

Watch BBC video clips full of facts about volcanoes, presented by experts such as Professor Iain Stewart"
FW14-e098-7261-01	Study explores JRR Tolkien's Welsh influences	"South East Wales / 21 May 2011

Lord of the Rings author JRR Tolkien was heavily influenced by Welsh when creating the Elvish language for his books, an academic says. Dr Carl…"
FW14-e098-7215-01	'Quiet epidemic' of male cancer in UK	"Health / 18 June 2013

… in 110 for women. There are two types of oesophageal cancer: squamous cell carcinoma \- linked to smoking, drinking and a low fruit intake adenocarcinoma…"
FW14-e098-7173-03	Spinal shock revives paralysed legs	"8 April 2014

Four men in the US, who were paralysed from the neck or chest down, are able to gain some movement in their legs with spinal cord electric stimulation."
FW14-e098-7111-02	Employers plan to take on more new graduates	"Education & Family / 13 January 2014

… the increase in what is known as entry-level graduate employment is the biggest in four years among this group of employers. Average starting…"
FW14-e098-7174-02	Kathryn Bigelow Osama Bin Laden film faces US probe	"US & Canada / 5 January 2012

… and the CIA had responded to a request he made in August. Mr King is concerned leaks would put the famed Seal Team 6 ""in danger"". Director Kathryn…"
FW14-e098-7173-02	Paralysed men move again with spinal stimulation	"Health / 8 April 2014

… recovery from spinal cord injury, may benefit from this."" Susan Howley, from the Christopher and Dana Reeve Foundation which funds spinal cord…"
FW14-e098-7207-03	L'Aquila ruling: Should scientists stop giving advice?	"News

A look at whether it is safe for scientists to advise the public on risk following the L'Auqila earthquake ruling"
