id	title	body
FW14-e138-7205-10	Deep Dish Leftover Turkey Pot Pie	You thought you were stuffed on Thanksgiving? Take a look at this overstuffed turkey pot pie! It 's made in a prepared pie crust filled with Thanksgiving...
FW14-e138-7205-04	Leftover Turkey Casserole	You could use chicken, ham or beef -whatever you have left over. If you have it, use your favorite stuffing recipe, enough to top the casserole
FW14-e138-7293-04	La Madeleine's Tomato-Basil Soup	 
FW14-e138-7293-03	Basil Pesto	"This is a wonderful lemon-flavored pesto. This was my first taste of pesto and I've never gone back! 

Update as of 2/13/04 
I'm..."
FW14-e138-7293-02	Basil Cream Chicken	This is the easiest and one of the most impressive chicken dishes I make. Serve with grated parmesan at the table.
FW14-e138-7293-01	Tomato and Basil Bruschetta	"My first culinary ""success."" This recipe came from a great book _Cucina Amore_, and is often requested by friends and family."
FW14-e138-7293-09	Basil-Walnut Pesto	"This is my favorite pesto recipe; rich but healthy due to ""good"" fats from olive oil and walnuts. It comes from ""The Omega Diet."" I..."
FW14-e138-7293-10	Tomato Basil Soup	This is one of my favorite soup recipes, especially in the fall when it's just getting crisp and cool outside. However, it's also great in the...
FW14-e138-7205-02	Leftover Turkey or Chicken Chili	This is a white chili, using leftover cooked turkey or chicken, with a nice spicy kick. This is strickly a white chili, no tomatoes, red beans, or chili...
FW14-e138-7293-08	Basil Shrimp with Feta and Orzo	I got this recipe from Cooking Light.
FW14-e138-7205-03	Turkey Pot Pie With Stuffing Crust (Using Leftovers)	This is my favorite pot pie to use up those holiday leftovers. I tend to make more stuffing and gravy then I need for the meal so that I can use up the...
FW14-e138-7205-05	Leftover Turkey Hotpot	A way of using up leftover turkey (and other things) that doesn't leave it dry and flavourless. The recipe is my own invention, and I enjoy it because...
FW14-e138-7205-06	Turkey and Dressing Soup (Use up Those Leftovers Soup)	This is more of a concept than an actual measured out recipe. It is how I like to use up Thanksgiving dinner leftovers. I can only have so many turkey...
FW14-e138-7205-07	Leftover Turkey or Chicken Enchiladas	I came up with this the other day with all of the left over Thanksgiving turkey.
FW14-e138-7205-08	Leftover Turkey Casserole	Great for after the holidays. A good way to use up some of that turkey and dressing that always seems to be around.
FW14-e138-7205-09	The Best Leftover Turkey Gumbo	My favorite way to use leftover turkey. Must give credit where due....this is my modification to one of Emeril's recipes - his was to boil a turkey...
FW14-e138-7293-06	Tomato-Basil Pasta Salad	I got the basis for this recipe from my cousin's wife, who absolutely adores the taste of fresh basil! This is a great, simple summer pasta salad,...
FW14-e138-7205-01	Leftover Chicken or Turkey Rice Casserole	I had a look at some of the other recipes like this on Recipezaar but mine is a little different so here it is. Occasionally we will have a roast turkey...
FW14-e138-7293-05	Thai Chicken Fried Rice with Basil - Kao Pad Krapao	Another delicious way to enjoy fried rice, fragrant with the heady aroma of basil!
FW14-e138-7299-01	Skid Row Stroganoff	Easy, quick and cheap. The only notes I have on this recipe is: Peg Bracken I Hate To Cook.
FW14-e138-7299-02	All in a Row Salad	This is the salad for that special occasion when you are aiming for visually stunning (I'm referring to both the salad and yourself). The original...
FW14-e138-7299-03	Gramma's Cannery Row Casserole	"This is a super brunch or ""company's coming"" dish which is sophisticated in taste but so easy to make."
FW14-e138-7216-01	Salmonella	I have not tried it yet but it sounds interesting. I got this from another website.
FW14-e138-7293-07	Orzo with Parmesan and Basil	A great side dish and so simple to prepare. Recipe found on Allrecipes.
FW14-e138-7207-05	Earthquake Cake	This is a recipe that has been in my family for years. I take this cake to parties and potlucks and have the recipe ready to hand out. Never any leftovers...
FW14-e138-7207-10	Strawberry Earthquake Cake	Quick and easy recipe from the Florida Strawberry Growers Association.
FW14-e138-7207-09	Earthquake Cake	Revising and changing, shifting and cracking. This is a cake that lives true to it's name.
FW14-e138-7207-08	Earthquake II	 
FW14-e138-7207-07	Cinnamon Swirl Earthquake Cake	I have had this recipe for a long time, but just made it recently and I have a feeling I will be making it often. My DH loved it! It is like a big gooey...
FW14-e138-7299-04	Pot Roast (Cotton Row Restaurant)	Cotton Row Restaurant, Huntsville, AL
FW14-e138-7303-01	Pig's Feet Stew	Great Southern dish!
FW14-e138-7303-02	Calm Down Dear Feet Bath	This DOES work - makes you feel relaxed. Your feet carry you everywhere and do deserve as much love as you give your soul when you read a good book or...
FW14-e138-7307-07	Budwix Cream	 
FW14-e138-7320-09	Taco Bell's Grilled Stuffed Chicken Burritos	I've search high and low on the internet. I've dug deep. I've looked in every recipe site I could find. Yet somehow, no one on the internet...
FW14-e138-7320-08	Turkey Oven Sandwich	This is from Betty Crockers 30 minute menues, adapted to suit
