id	title	body
FW14-e158-7211-10	weewx weather software	Python program for managing your weather station
FW14-e158-7486-01	Anywhere Board Games	Anywhere Board Games (ABG) allows users to play board and card games on the web in real time on multiple machines (PC, Linux, iPhone, iPad, and Android). ABG runs as a Google+ Hangout App (go to http://anywhereboardgames.com to start it), or as a stand-alone PHP app. Unlike other gaming environments, we had a peculiar vision: projecting the main board on our table and using laptops or tablets to control our hands (with other friends joining in remotely). ABG runs on PHP 5 and Apache (which is provided with the Windows installer). It supports flipping, stacking, rotating, rolling, and shuffling of pieces, so most board and card games are playable.
FW14-e158-7486-02	Domination (Risk Board Game)	Domination is a board game that is a bit like the well known game Risk
FW14-e158-7486-10	Hotels Board Game	http://en.wikipedia.org/wiki/Hotels_%28board_game%29 Contains the description. I've implemented the PC version up to 4 players in the same computer, and online too! More info about versions: http://cosasdebeto.blogspot.com/search/label/Hotel or read commit logs of Subversion :)
FW14-e158-7015-01	Eclipse Checkstyle Plug-in	The Eclipse Checkstyle plug-in integrates the Checkstyle Java code auditor into the Eclipse IDE. The plug-in provides real-time feedback to the user about violations of rules that check for coding style and possible error prone code constructs.
FW14-e158-7263-01	Open Hospital	OpenHospital - Hospital Information System
FW14-e158-7263-08	Beth Israel plugins to fiji	These are plugins to Fiji (ImageJ) used in Nuclear Medicine at Beth Israel Hospital, Boston MA. Pet_Ct_Viewer is for PET/SPECT - CT/MRI studies showing fusion of the modalities. Read_BI_Studies is for BI database activities. New users use newUser.zip
FW14-e158-7263-07	SPM Physiotools	A SPM (http://www.fil.ion.ucl.ac.uk/spm) toolbox which implements methods to remove physiological noise from BOLD (fMRI, fNIRS) measurements. Developed at the Medical Physics Department, University Hospital Freiburg (http://mr.uniklinik-freiburg.de).
FW14-e158-7263-06	GNU Health	GNU Health - The Free Hospital and Health Information System
FW14-e158-7263-05	Floreant POS	Opensource POS
FW14-e158-7263-04	Hospital & Pharmacy management system	A hospital and pharmacy integrated management and billing system
FW14-e158-7263-03	Ispirithalaya Hospital Management System	Ispirithalaya is simple health care system for hospital.
FW14-e158-7263-02	CARE2X - Integrated Hospital Info System	Integrated Hospital Information System. PHP,mySQL,PostgreSQL. Surgery, Nursing,Outpatient,Wards,Labs, Pharmacy, Security,Admission,Schedulers, Repair, Communication & more. Multilanguage, WYSIWYG forms, userconfig, embedded workbots. Modular & scalab
FW14-e158-7261-10	Zefania XML Bible Markup Language	No PRISM. No Surveillance. No Government Back Doors. You Have our Word on it.
FW14-e158-7263-10	CapCode-software suite for sailors	CapCode is a navigation software for sailors for cruising or regatta. - Reads NMEA 183 data (instruments, GPS, AIS). Implements computation of the VMG , tracing on RNC and ENC (S-57) charts. Display the polar on the chart, future position of the ship. Weather information acquired from grib files are also displayed in the navigation view. developed as an Eclipse RCP in its versions 2.x.x
FW14-e158-7261-09	Faust : signal processing language	Faust is a programming language for realtime audio signal processing
FW14-e158-7261-08	CLIPS Rule Based Programming Language	Expert System Tool
FW14-e158-7261-07	Systems Biology Markup Language (SBML)	A file format for exchanging computational models in systems biology
FW14-e158-7261-06	Neuron	No description
FW14-e158-7261-05	eXo Platform - Social Collaboration	The Open Source Enterprise Social Platform
FW14-e158-7261-04	Wireless Universal Resource File	Handset Detection for Mobile Applications. Device Description Database
FW14-e158-7261-03	iText®, a JAVA PDF library	iText is a PDF library that allows you to CREATE, ADAPT, INSPECT and MAINTAIN documents in the Portable Document Format (PDF): \- Generate documents and reports based on data from an XML file or a database \- Create maps and books, exploiting numerous interactive features available in PDF \- Add bookmarks, page numbers, watermarks, and other features to existing PDF documents \- Split or concatenate pages from existing PDF files \- Fill out interactive forms \- Serve dynamically generated or manipulated PDF documents to a web browser iText is used by Java, .NET, Android and GAE developers to enhance their applications with PDF functionality. Several iText engineers are actively supporting the project on the iText mailing-list itext-questions@lists.sourceforge.net and on StackOverflow: http://stackoverflow.com/questions/tagged/itext
FW14-e158-7261-02	Hibernate	Relational Persistence for Idiomatic Java
FW14-e158-7261-01	Eclipse Checkstyle Plug-in	The Eclipse Checkstyle plug-in integrates the Checkstyle Java code auditor into the Eclipse IDE. The plug-in provides real-time feedback to the user about violations of rules that check for coding style and possible error prone code constructs.
FW14-e158-7263-09	HospitalERP_Wits	Wits 4th Year project - Hospital electronic ERP
