id	title	body
FW14-e009-7207-01	Instrumental intensity as a tool for post-earthquake damage assessment: validation for the strong Vrancea earthquakes of August 1986 and May 1990.	Craifaleanu, Iolanda-Gabriela and Borcia, I. S. (2011): Instrumental intensity as a tool for post-earthquake damage assessment: validation for the strong Vrancea earthquakes of August 1986 and May 1990. Published in: Constructii , Vol. 11, No. 1 (2011): pp. 25-32.
FW14-e009-7207-02	Earthquake 2005: Some Implications for Environment and Human Capital.	Hamdani, Nisar Hussain and Shah, Syed Akhter Hussain (2005): Earthquake 2005: Some Implications for Environment and Human Capital.
FW14-e009-7307-03	EU and US security policy from the cold war era to the 21st century: the institutional evolution of cfsp and the factors that determine the American military supremacy.	Economou, Emmanouel/Marios/Lazaros and Metaxas, Theodore (2011): EU and US security policy from the cold war era to the 21st century: the institutional evolution of cfsp and the factors that determine the American military supremacy.
FW14-e009-7207-10	Seismic vulnerability assessment: Methodological elements and applications to the case of Romania.	Sandi, H. and Pomonis, A. and Francis, S. and Georgescu, E. S. and Mohindra, R. and Borcia, I. S. (2007): Seismic vulnerability assessment: Methodological elements and applications to the case of Romania. Published in: Constructii , Vol. 3, No. 2/2008 (December 2008): pp. 5-17.
FW14-e009-7207-09	Preparing for Large Natural Catastrophes: The current state and challenges of earthquake insurance in Japan.	Yamori, Nobuyoshi and Okada, Taishi and Kobayashi, Takeshi (2009): Preparing for Large Natural Catastrophes: The current state and challenges of earthquake insurance in Japan.
FW14-e009-7015-01	Induction, complexity, and economic methodology.	Smith, Peter (2009): Induction, complexity, and economic methodology.
FW14-e009-7230-08	Iowa’s Tax Incentive Programs Used by Biofuel Producers Tax Credits Program Evaluation Study.	Jin, Zhong and Teahan, Brittany (2009): Iowa’s Tax Incentive Programs Used by Biofuel Producers Tax Credits Program Evaluation Study.
FW14-e009-7235-02	Globalization and Tourism: Study case Romania.	Rotariu, Ilie (2007): Globalization and Tourism: Study case Romania.
FW14-e009-7235-01	The symbolic universe of Cyberjaya, Malaysia.	Evers, Hans-Dieter and Nordin, Ramli (2012): The symbolic universe of Cyberjaya, Malaysia. Published in: ZEF Working Paper Series No. 95 (5. June 2012): pp. 1-33.
FW14-e009-7230-10	On the Problem of Vague Terms: A Glossary of Clearly Stated Assumptions & Careful, Patient, Descriptions.	Funk, Matt (2008): On the Problem of Vague Terms: A Glossary of Clearly Stated Assumptions & Careful, Patient, Descriptions.
FW14-e009-7230-09	Globalization and Tourism: Study case Romania.	Rotariu, Ilie (2007): Globalization and Tourism: Study case Romania.
FW14-e009-7230-06	Growth, Quality, Happiness, and the Poor.	McCloskey, Deirdre (2009): Growth, Quality, Happiness, and the Poor.
FW14-e009-7230-07	Workfare: a marginal employment subsidy for public and private sectors (2nd edition).	Musgrave, Ralph S. (2009): Workfare: a marginal employment subsidy for public and private sectors (2nd edition).
FW14-e009-7239-02	A detailed investigation of crash risk reduction resulting from red light cameras in small urban areas.	Burkey, Mark L. and Obeng, Kofi (2004): A detailed investigation of crash risk reduction resulting from red light cameras in small urban areas.
FW14-e009-7230-05	Corruption in Russia’s Doctoral Education.	Osipian, Ararat (2008): Corruption in Russia’s Doctoral Education.
FW14-e009-7230-04	On the Truly Noncooperative Game of Life on Earth: In Search of the Unity of Nature & Evolutionary Stable Strategy.	Funk, Matt (2008): On the Truly Noncooperative Game of Life on Earth: In Search of the Unity of Nature & Evolutionary Stable Strategy.
FW14-e009-7230-03	CSR: Transparency and the role of intermediate organisations.	Dubbink, G.W. and Graafland, J.J. and Liederkerke, L. (2008): CSR: Transparency and the role of intermediate organisations. Published in: Journal of Business Ethics , Vol. 2, No. 82 (2008): pp. 391-406.
FW14-e009-7230-02	Differences in Quality of Life Estimates Using Rents and Home Values.	Winters, John V (2010): Differences in Quality of Life Estimates Using Rents and Home Values.
FW14-e009-7230-01	State of Governance in Bangladesh: Problems and Prospects.	Ahmad, Sayed Javed (2008): State of Governance in Bangladesh: Problems and Prospects.
FW14-e009-7239-01	Crash Risk Reduction at Signalized Intersections Using Longitudinal Data.	Burkey, Mark L. and Obeng, Kofi (2005): Crash Risk Reduction at Signalized Intersections Using Longitudinal Data.
FW14-e009-7239-04	A Vicious Cycle of Manias, Crashes and Asymmetric Policy Responses - An Overinvestment View.	Hoffmann, Andreas and Schnabl, Gunther (2009): A Vicious Cycle of Manias, Crashes and Asymmetric Policy Responses - An Overinvestment View.
FW14-e009-7239-03	Minimum wages in Australia: an analysis of the impact on small and medium sized businesses.	Harding, Don and Harding, Glenys (2004): Minimum wages in Australia: an analysis of the impact on small and medium sized businesses.
FW14-e009-7222-09	Nonstationary-Volatility Robust Panel Unit Root Tests and the Great Moderation.	Hanck, Christoph (2008): Nonstationary-Volatility Robust Panel Unit Root Tests and the Great Moderation.
FW14-e009-7239-05	The Uneasy Case for Fractional-Reserve Free Banking.	van den Hauwe, Ludwig (2006): The Uneasy Case for Fractional-Reserve Free Banking. Forthcoming in: Procesos de Mercado Revista Europea de Economía Política , Vol. III, No. 2 (December 2006)
FW14-e009-7239-06	Globalization and Tourism: Study case Romania.	Rotariu, Ilie (2007): Globalization and Tourism: Study case Romania.
FW14-e009-7239-07	Bank transactions: pathway to the single tax ideal A modern tax technology;the Brazilian experience with a bank transactions tax (1993-2007).	Cintra, Marcos (2009): Bank transactions: pathway to the single tax ideal A modern tax technology;the Brazilian experience with a bank transactions tax (1993-2007). Published in:
FW14-e009-7239-08	International Navigation Market.	Nistor, Costel and Muntean, Mihaela-Carmen (2009): International Navigation Market. Published in: The Annals of “Dunarea de Jos” University of Galati No. Fascicle I – 2009. Economics and Applied Informatics. Years XV – no 2 - ISSN 1584-0409 (2009): pp. 873-886.
FW14-e009-7239-09	Trade, Foreign Investment, and Industrial Policy.	Harrison, Ann E. and Rodriguez-Clare, Andres (2009): Trade, Foreign Investment, and Industrial Policy.
FW14-e009-7239-10	Agent–Based Keynesian Macroeconomics - An Evolutionary Model Embedded in an Agent–Based Computer Simulation.	Oeffner, Marc (2008): Agent–Based Keynesian Macroeconomics - An Evolutionary Model Embedded in an Agent–Based Computer Simulation.
FW14-e009-7242-01	The Legal Barriers to International Movement of Goods and their Impact on the Administration of Small Scale Organisations in the United Kingdom.	Kingston, Kato Gogo and Kingston, Sacha Christina (2010): The Legal Barriers to International Movement of Goods and their Impact on the Administration of Small Scale Organisations in the United Kingdom. Published in: African Journal of Social Sciences , Vol. 1, No. 1 (4. February 2011): pp. 75-82.
FW14-e009-7242-02	Book Review: The Mediterranean tradition in economic thought by Louis Baeck.	Islahi, Abdul Azim (2003): Book Review: The Mediterranean tradition in economic thought by Louis Baeck. Published in: Journal of King Abdulaziz University - Islamic Economics , Vol. 16, No. 1 (2003): pp. 55-58.
FW14-e009-7242-03	The Kyoto Protocol: a cost-effective strategy for meeting environmental objective?: discussion.	Zhang, ZhongXiang (1999): The Kyoto Protocol: a cost-effective strategy for meeting environmental objective?: discussion.
FW14-e009-7242-04	The Influence of International Law on the International Movement of Persons.	Opeskin, Brian (2009): The Influence of International Law on the International Movement of Persons. Published in: Human Development Research Paper (HDRP) Series , Vol. 18, No. 2009
