id	title	body
FW14-e109-7431-01	Navalny's conviction in Russia a chilling message	A Moscow judge on Tuesday left open the possibility of jailing President Vladimir Putin's main critic for years, a sign of Putin's increasingly hard-line rule against opponents.
FW14-e109-7207-05	Magnitude-7.2 earthquake shakes Mexican capital	A powerful magnitude-7.2 earthquake shook central and southern Mexico on Friday, sending panicked people into the streets. Some walls cracked and fell, but there were no reports of major damage or casualties.
FW14-e109-7044-06	Use this brilliant infographic to keep track of 'Game of Thrones'	Artist and graphic designer Nigel Evan Dennis simplifies HBO's epic television series.
FW14-e109-7207-07	Magnitude-7.2 earthquake strikes central, southern Mexico	The quake sends panicked people into the streets, but there are no reports of major damage or deaths.
FW14-e109-7044-10	'Game of Thrones,' the one true battle: Readers vs. Watchers	"There has been an unspoken peace between TV watchers and ""A Song of Ice and Fire"" readers. Is that in jeopardy as the show catches up to the books?"
FW14-e109-7207-03	Strong earthquake strikes off Papua New Guinea	A powerful earthquake struck off the South Pacific nation of Papua New Guinea on Saturday, but there were no immediate reports of injuries or damage.
FW14-e109-7200-03	Getting smart about defending defense	Defense spending is adversely affected by the sequester, but real reform is needed.
FW14-e109-7207-06	Powerful earthquake rattles Mexico	 
FW14-e109-7293-08	Pallotte Cacio e Uova (Cheese and Egg 'Meatballs' in Tomato Sauce)	"This is a typical example of Abruzzo's ""cucina povera"": poor man's cuisine. Eggs, cheese and bread crumbs, minus any meat, are mixed together, shaped into pallotte (balls or patties) and fried, then simmered in sugo finto, or a rich, meatless tomato sauce. Parsley is optional, depending on the Abruzzese town in which this dish is made. You'll need an instant-read thermometer."
FW14-e109-7044-09	HBO Go crashed during the 'Game of Thrones' season premiere. That might be good for HBO.	Most paying customers had ways around the crash. Freeloaders didn't.
FW14-e109-7431-10	Mr. Putin's czarist courts	The Kremlin finds a way to neutralize the Russian president's foremost opponent--if it works.
FW14-e109-7242-09	Getting personal before the Supreme Court	On a rare personal note, a lawyer tells the justices that he had faced a court custody hearing as a child.
FW14-e109-7242-07	Supreme Court says it cannot alter deadline set by international accord on child abduction	Supreme Court unanimously says it has no authority to alter terms of treaty.
FW14-e109-7236-01	Chemo Alone Effective in Treating Kids' Brain Tumors	FRIDAY, Oct. 10 (HealthDay News) -- Using chemotherapy alone, and delaying or avoiding radiation altogether, may be effective in treating children with inoperable or progressive low-grade glioma brain tumors, according to a multi-institutional study.
FW14-e109-7486-01	Review: 'Hearthstone' card game is the real deal	Video game publishers don't take many risks with their most popular franchises.
FW14-e109-7293-09	Tricolor Christmas Bread	This holiday bread is a festive mix flavored with sun-dried tomatoes, black olives and pesto, with each slice showing off a cross-section of colors. The original recipe calls for this to make a single loaf, and if you have a big enough pan - and need a seven-pound loaf of bread - go for it. We've divided it into two loaves here, but dividing it into four loaves results in more manageable finished products that are suitable for sharing.
FW14-e109-7215-07	Experts warn of dangers of overdiagnosis and treatment of cancer	Screenings often lead to discovery of harmless lesions that are treated aggressively anyway, panel says
